namespace,code,label,latitude,longitude,radius_km
eew,66,中国,34.6000,133.0000,300
eew,67,四国,33.7500,133.5000,240
eew,68,九州,32.3000,130.7000,420
prefecture,1,北海道,43.0642,141.3469,350
prefecture,2,青森県,40.8244,140.7400,140
prefecture,3,岩手県,39.7036,141.1527,160
prefecture,4,宮城県,38.2688,140.8721,120
prefecture,5,秋田県,39.7186,140.1024,140
prefecture,6,山形県,38.2404,140.3633,130
prefecture,7,福島県,37.7503,140.4676,150
prefecture,8,茨城県,36.3418,140.4468,110
prefecture,9,栃木県,36.5657,139.8836,110
prefecture,10,群馬県,36.3912,139.0608,110
prefecture,11,埼玉県,35.8569,139.6489,100
prefecture,12,千葉県,35.6047,140.1233,130
prefecture,13,東京都,35.6895,139.6917,120
prefecture,13,東京都,33.5000,139.8000,230
prefecture,13,東京都,27.1000,142.2000,230
prefecture,14,神奈川県,35.4478,139.6425,100
prefecture,15,新潟県,37.9026,139.0236,180
prefecture,16,富山県,36.6953,137.2113,100
prefecture,17,石川県,36.5947,136.6256,120
prefecture,18,福井県,36.0652,136.2216,110
prefecture,19,山梨県,35.6642,138.5684,100
prefecture,20,長野県,36.6513,138.1810,160
prefecture,21,岐阜県,35.3912,136.7223,150
prefecture,22,静岡県,34.9769,138.3831,160
prefecture,23,愛知県,35.1802,136.9066,110
prefecture,24,三重県,34.7303,136.5086,140
prefecture,25,滋賀県,35.0045,135.8686,100
prefecture,26,京都府,35.0212,135.7556,120
prefecture,27,大阪府,34.6863,135.5200,90
prefecture,28,兵庫県,34.6913,135.1830,150
prefecture,29,奈良県,34.6851,135.8048,120
prefecture,30,和歌山県,34.2260,135.1675,130
prefecture,31,鳥取県,35.5039,134.2381,110
prefecture,32,島根県,35.4723,133.0505,180
prefecture,33,岡山県,34.6618,133.9350,120
prefecture,34,広島県,34.3966,132.4596,140
prefecture,35,山口県,34.1861,131.4714,140
prefecture,36,徳島県,34.0658,134.5593,110
prefecture,37,香川県,34.3401,134.0434,90
prefecture,38,愛媛県,33.8416,132.7657,140
prefecture,39,高知県,33.5597,133.5311,150
prefecture,40,福岡県,33.6064,130.4183,110
prefecture,41,佐賀県,33.2494,130.2988,90
prefecture,42,長崎県,32.7448,129.8737,200
prefecture,43,熊本県,32.7898,130.7417,130
prefecture,44,大分県,33.2382,131.6126,120
prefecture,45,宮崎県,31.9111,131.4239,150
prefecture,46,鹿児島県,31.5602,130.5581,210
prefecture,46,鹿児島県,28.3000,129.5000,230
prefecture,47,沖縄県,26.2124,127.6809,160
prefecture,47,沖縄県,24.8000,125.3000,110
prefecture,47,沖縄県,24.4000,124.2000,140
prefecture,47,沖縄県,25.8000,131.2000,120
